Itr	KL-divergence	cost(ms)
0	2.991889e+01	1.109850e+02
10	2.983951e+01	8.641526e+03
20	2.977597e+01	8.746314e+03
30	2.972612e+01	9.016662e+03
40	2.968761e+01	8.843609e+03
50	2.965818e+01	8.893198e+03
60	2.963584e+01	8.968165e+03
70	2.961886e+01	9.021896e+03
80	2.960587e+01	8.880047e+03
90	2.959580e+01	9.011225e+03
100	2.958784e+01	8.815182e+03
110	2.958139e+01	8.834438e+03
120	2.957602e+01	8.756879e+03
130	2.957141e+01	8.767360e+03
140	2.956734e+01	8.789979e+03
150	2.956365e+01	8.900742e+03
160	2.956022e+01	8.899679e+03
170	2.955697e+01	8.902201e+03
180	2.955386e+01	8.970677e+03
190	2.955083e+01	9.158387e+03
200	2.954787e+01	8.982104e+03
210	2.954496e+01	8.801155e+03
220	2.954208e+01	8.758103e+03
230	2.953922e+01	8.805286e+03
240	2.953637e+01	8.797100e+03
250	2.953354e+01	8.659538e+03
260	2.953072e+01	8.764138e+03
270	2.952791e+01	8.810678e+03
280	2.952510e+01	8.739681e+03
290	2.952230e+01	8.867687e+03
300	2.951950e+01	8.718757e+03
310	2.951670e+01	8.807252e+03
320	2.951391e+01	8.833241e+03
330	2.951112e+01	8.795915e+03
340	2.950834e+01	9.245796e+03
350	2.950555e+01	8.878457e+03
360	2.950278e+01	8.788976e+03
370	2.950000e+01	9.030297e+03
380	2.949723e+01	8.810206e+03
390	2.949446e+01	8.724237e+03
400	2.949169e+01	8.781317e+03
410	2.948893e+01	9.045865e+03
420	2.948616e+01	8.742370e+03
430	2.948341e+01	8.708765e+03
440	2.948065e+01	8.913498e+03
450	2.947790e+01	9.122563e+03
460	2.947515e+01	9.179798e+03
470	2.947240e+01	9.400263e+03
480	2.946966e+01	9.169246e+03
490	2.946692e+01	9.209670e+03
500	2.946418e+01	9.018266e+03
510	2.946145e+01	8.939534e+03
520	2.945872e+01	8.931332e+03
530	2.945599e+01	9.111446e+03
540	2.945327e+01	9.479791e+03
550	2.945055e+01	9.173323e+03
560	2.944783e+01	9.149749e+03
570	2.944511e+01	8.947058e+03
580	2.944240e+01	9.131704e+03
590	2.943969e+01	8.902442e+03
600	2.943699e+01	8.743324e+03
610	2.943428e+01	8.880208e+03
620	2.943158e+01	8.859743e+03
630	2.942889e+01	8.847579e+03
640	2.942619e+01	8.871042e+03
650	2.942350e+01	8.816884e+03
660	2.942082e+01	8.989438e+03
670	2.941813e+01	8.907193e+03
680	2.941545e+01	8.782401e+03
690	2.941277e+01	8.727550e+03
700	2.941010e+01	8.841530e+03
710	2.940743e+01	8.877752e+03
720	2.940476e+01	8.770188e+03
730	2.940210e+01	8.808337e+03
740	2.939943e+01	8.825858e+03
750	2.939678e+01	8.776442e+03
760	2.939412e+01	9.135671e+03
770	2.939147e+01	9.111112e+03
780	2.938882e+01	8.969243e+03
790	2.938618e+01	8.987979e+03
800	2.938353e+01	8.910350e+03
810	2.938090e+01	8.751937e+03
820	2.937826e+01	8.697346e+03
830	2.937563e+01	8.749205e+03
840	2.937300e+01	8.999058e+03
850	2.937037e+01	9.027972e+03
860	2.936775e+01	8.920402e+03
870	2.936513e+01	8.937327e+03
880	2.936252e+01	8.768645e+03
